,ordine_data,revenue,transazioni,google_spent,google_impressions,google_clicks,fb_spent,fb_impressions,fb_clicks,bing_spent,bing_impressions,bing_clicks,bing_organico,google_organico,referral,email_sessioni,cambio_eur_dollaro,day_week,month,year
0,2020-01-07,1878.71,170,93.04,695,147,0.0,0,0,0.0,0,0,72,4841,329,143,1.12507,1,1,2020
1,2020-02-07,2057.76,167,81.2,689,129,0.0,0,0,0.0,0,0,70,4519,304,93,1.12371,4,2,2020
2,2020-03-07,1930.55,119,69.4,601,113,0.0,0,0,0.0,0,0,38,3833,260,72,1.1243,5,3,2020
3,2020-04-07,778.36,66,34.94,367,66,0.0,0,0,0.0,0,0,31,2566,161,56,1.1243,1,4,2020
4,2020-05-07,1753.69,146,90.33,597,94,0.0,0,0,0.0,0,0,28,2380,155,42,1.12465,3,5,2020
5,2020-06-07,3016.44,238,94.84,645,112,0.0,0,0,0.0,0,0,64,4884,344,93,1.1311,6,6,2020
6,2020-07-07,2365.55,181,90.51,595,115,0.0,0,0,0.0,0,0,72,4915,357,84,1.12748,1,7,2020
7,2020-08-07,2363.86,182,84.79,669,103,0.0,0,0,0.0,0,0,74,4757,326,80,1.13371,4,8,2020
8,2020-09-07,1803.16,185,85.06,519,90,0.0,0,0,0.0,0,0,62,4364,244,306,1.1287399999999999,0,9,2020
9,2020-10-07,1541.98,124,68.35,525,96,0.0,0,0,0.0,0,0,44,3871,256,102,1.1288799999999999,2,10,2020
10,2020-11-07,985.98,73,53.09,462,69,0.0,0,0,0.0,0,0,39,2506,148,44,1.1299,5,11,2020
11,2020-12-07,1370.96,115,77.36,371,79,0.0,0,0,0.0,0,0,32,2404,143,49,1.13093,0,12,2020
12,2020-07-13,2880.98,238,80.73,559,82,0.0,0,0,0.0,0,0,70,4924,332,73,1.1345299999999998,0,7,2020
13,2020-07-14,2802.35,230,81.57,568,99,0.0,0,0,0.0,0,0,85,4850,339,83,1.14101,1,7,2020
14,2020-07-15,10489.07,810,77.57,485,77,0.0,0,0,0.0,0,0,81,4785,514,1482,1.1416,2,7,2020
15,2020-07-16,10457.8,744,65.2,503,76,0.0,0,0,0.0,0,0,78,4804,536,515,1.13879,3,7,2020
16,2020-07-17,7033.99,416,52.17,454,69,0.0,0,0,0.0,0,0,62,4337,448,641,1.14246,4,7,2020
17,2020-07-18,4031.24,261,57.68,398,73,0.0,0,0,0.0,0,0,29,2665,260,187,1.14246,5,7,2020
18,2020-07-19,5577.11,476,91.09,489,89,0.0,0,0,0.0,0,0,27,2417,273,129,1.1441700000000001,6,7,2020
19,2020-07-20,10846.59,960,84.95,568,101,0.0,0,0,0.0,0,0,85,5307,543,997,1.1456600000000001,0,7,2020
20,2020-07-21,9959.99,835,77.8,778,109,0.0,0,0,0.0,0,0,78,5310,590,355,1.15336,1,7,2020
21,2020-07-22,8641.53,685,79.81,574,101,0.0,0,0,0.0,0,0,69,5010,614,307,1.15647,2,7,2020
22,2020-07-23,8183.78,625,71.4,554,101,0.0,0,0,0.0,0,0,73,4831,592,236,1.15954,3,7,2020
23,2020-07-24,5944.73,441,58.31,566,114,0.0,0,0,0.0,0,0,44,4437,528,206,1.16559,4,7,2020
24,2020-07-25,4610.64,232,49.6,520,68,0.0,0,0,0.0,0,0,30,2579,220,86,1.16559,5,7,2020
25,2020-07-26,5487.97,395,66.81,604,79,0.0,0,0,0.0,0,0,30,2424,221,79,1.165,6,7,2020
26,2020-07-27,11644.23,939,90.71,514,83,0.0,0,0,0.0,0,0,64,5287,583,232,1.17689,0,7,2020
27,2020-07-28,8885.58,780,79.67,735,122,0.0,0,0,0.0,0,0,64,5241,599,220,1.1717,1,7,2020
28,2020-07-29,9295.77,767,70.92,534,100,0.0,0,0,0.0,0,0,76,4954,632,211,1.17821,2,7,2020
29,2020-07-30,7747.64,654,60.09,512,87,0.0,0,0,0.0,0,0,62,4638,595,192,1.1872,3,7,2020
30,2020-07-31,5608.38,423,48.02,432,72,0.0,0,0,0.0,0,0,46,3838,497,145,1.17719,4,7,2020
31,2020-01-08,2988.2,261,35.34,350,67,0.0,0,0,0.0,0,0,15,2392,243,61,1.17719,2,1,2020
32,2020-02-08,5348.48,401,65.82,663,91,0.0,0,0,0.0,0,0,22,2342,207,62,1.17814,5,2,2020
33,2020-03-08,9807.08,886,117.57,1206,183,0.0,0,0,0.0,0,0,77,4938,529,144,1.1761,6,3,2020
34,2020-04-08,8879.67,835,143.51,1188,155,0.0,0,0,0.0,0,0,66,5028,516,155,1.18144,2,4,2020
35,2020-05-08,9147.71,767,111.51,1298,124,0.0,0,0,0.0,0,0,61,4890,506,173,1.18725,4,5,2020
36,2020-06-08,7519.13,641,111.91,1369,134,0.0,0,0,0.0,0,0,76,4538,499,136,1.18743,0,6,2020
37,2020-07-08,5808.55,450,69.66,1014,105,0.0,0,0,0.0,0,0,55,3848,479,114,1.17865,2,7,2020
38,2020-08-08,3686.26,232,61.79,800,91,0.0,0,0,0.0,0,0,17,2451,268,70,1.1786,5,8,2020
39,2020-09-08,4375.03,357,136.56,1374,152,0.0,0,0,0.0,0,0,23,2124,184,43,1.1782,1,9,2020
40,2020-10-08,8510.24,724,122.12,1256,151,0.0,0,0,0.0,0,0,52,4368,527,103,1.17374,3,10,2020
41,2020-11-08,6988.96,563,118.82,1202,115,0.0,0,0,0.0,0,0,45,4283,490,113,1.1735799999999998,6,11,2020
42,2020-12-08,5820.27,528,123.42,1086,127,0.0,0,0,0.0,0,0,48,3851,478,108,1.17937,1,12,2020
43,2020-08-13,4786.96,389,108.22,1262,138,0.0,0,0,0.0,0,0,39,3628,609,95,1.1816200000000001,3,8,2020
44,2020-08-14,3024.39,242,81.22,922,83,0.0,0,0,0.0,0,0,39,2877,524,96,1.18408,4,8,2020
45,2020-08-15,1572.99,107,37.08,450,40,0.0,0,0,0.0,0,0,14,1479,178,55,1.18408,5,8,2020
